optimizer,activation,initializer,loss,final_loss,final_accuracy
Momentum,GELU,Random,MSE,0.08999922683215897,0.125
Momentum,GELU,Random,MAE,0.17999963554915835,0.10451666666666666
Momentum,GELU,Random,Huber,0.04500013961394963,0.12468333333333333
Momentum,GELU,Xavier,CrossEntropy,2.3002050458690824,0.10461666666666666
Momentum,GELU,Xavier,MSE,0.0903125436115458,0.10838333333333333
Momentum,GELU,Xavier,MAE,0.17992322994456486,0.08121666666666667
Momentum,GELU,Xavier,Huber,0.045020510011006196,0.1136
Momentum,GELU,He,CrossEntropy,2.3930134158226566,0.11483333333333333
Momentum,GELU,He,MSE,0.08984338698205305,0.09665
Momentum,GELU,He,MAE,0.18044566362478268,0.1071
Momentum,GELU,He,Huber,0.04588028190202508,0.06333333333333334
Momentum,GELU,LeCun,CrossEntropy,2.280960293580808,0.12943333333333334
Momentum,GELU,LeCun,MSE,0.08999993958989254,0.08285
Momentum,GELU,LeCun,MAE,0.1802038026759582,0.0735
Momentum,GELU,LeCun,Huber,0.04501909652664016,0.10575
Momentum,Mish,Random,CrossEntropy,2.3025367276389317,0.15011666666666668
Momentum,Mish,Random,MSE,0.09000038852721426,0.11633333333333333
Momentum,Mish,Random,MAE,0.18000080583024106,0.13238333333333333
Momentum,Mish,Random,Huber,0.04500003456275209,0.11278333333333333
Momentum,Mish,Xavier,CrossEntropy,2.3202625397714813,0.07286666666666666
Momentum,Mish,Xavier,MSE,0.09016719155006185,0.08015
Momentum,Mish,Xavier,MAE,0.18031654318820314,0.07305
Momentum,Mish,Xavier,Huber,0.04523794898560325,0.05346666666666667
Momentum,Mish,He,CrossEntropy,2.34323579253981,0.12083333333333333
Momentum,Mish,He,MSE,0.09114559360071384,0.10248333333333333
Momentum,Mish,He,MAE,0.18063603874488138,0.10388333333333333
Momentum,Mish,He,Huber,0.04549621044305107,0.07893333333333333
Momentum,Mish,LeCun,CrossEntropy,2.313674282000137,0.09406666666666667
Momentum,Mish,LeCun,MSE,0.08985288277881727,0.13425
Momentum,Mish,LeCun,MAE,0.1805491164529296,0.044033333333333334
Momentum,Mish,LeCun,Huber,0.04521207140374136,0.0538
Momentum,Sigmoid,Random,CrossEntropy,2.3032222133395943,0.0976
Momentum,Sigmoid,Random,MSE,0.09003674685363161,0.0896
Momentum,Sigmoid,Random,MAE,0.18001529542793412,0.10178333333333334
Momentum,Sigmoid,Random,Huber,0.04500210913143122,0.0987
Momentum,Sigmoid,Xavier,CrossEntropy,2.385261840040295,0.08908333333333333
Momentum,Sigmoid,Xavier,MSE,0.09230514841297517,0.10038333333333334
Momentum,Sigmoid,Xavier,MAE,0.18004809807234254,0.0987
Momentum,Sigmoid,Xavier,Huber,0.04562957619409578,0.0896
Momentum,Sigmoid,He,CrossEntropy,2.510464789784847,0.0987
Momentum,Sigmoid,He,MSE,0.09273131967663355,0.10225
Momentum,Sigmoid,He,MAE,0.17993798191554947,0.10178333333333334
Momentum,Sigmoid,He,Huber,0.046606085370852826,0.09476666666666667
Momentum,Sigmoid,LeCun,CrossEntropy,2.35319993011703,0.11208333333333333
Momentum,Sigmoid,LeCun,MSE,0.09409929617610728,0.0976
Momentum,Sigmoid,LeCun,MAE,0.1798923985458576,0.11753333333333334
Momentum,Sigmoid,LeCun,Huber,0.045448722237454664,0.10396666666666667
Momentum,Tanh,Random,CrossEntropy,2.3025702788997062,0.12503333333333333
Momentum,Tanh,Random,MSE,0.0900005358969241,0.12213333333333333
Momentum,Tanh,Random,MAE,0.1799988091611081,0.10345
Momentum,Tanh,Random,Huber,0.04500140409883647,0.07706666666666667
Momentum,Tanh,Xavier,CrossEntropy,2.331579485399349,0.10946666666666667
Momentum,Tanh,Xavier,MSE,0.09046975105898687,0.11006666666666666
Momentum,Tanh,Xavier,MAE,0.1793323413922595,0.11408333333333333
Momentum,Tanh,Xavier,Huber,0.04525314064552734,0.0713
Momentum,Tanh,He,CrossEntropy,2.4293750733858372,0.12021666666666667
Momentum,Tanh,He,MSE,0.09373086964281259,0.1266
Momentum,Tanh,He,MAE,0.18192758260637343,0.07088333333333334
Momentum,Tanh,He,Huber,0.043903254899866406,0.20521666666666666
Momentum,Tanh,LeCun,CrossEntropy,2.315425423114115,0.13883333333333334
Momentum,Tanh,LeCun,MSE,0.09002552863745797,0.13183333333333333
